bengali_date,gregorian_Date
"8 , Magh (Maagh) 1388",22/01/1981
"9 , Magh (Maagh) 1388",23/01/1981
"10 , Magh (Maagh) 1388",24/01/1981
"11 , Magh (Maagh) 1388",25/01/1981
"12 , Magh (Maagh) 1388",26/01/1981
"13 , Magh (Maagh) 1388",27/01/1981
"14 , Magh (Maagh) 1388",28/01/1981
"15 , Magh (Maagh) 1388",29/01/1981
"16 , Magh (Maagh) 1388",30/01/1981
"17 , Magh (Maagh) 1388",31/01/1981
"18 , Magh (Maagh) 1388",01/02/1981
"19 , Magh (Maagh) 1388",02/02/1981
"20 , Magh (Maagh) 1388",03/02/1981
"21 , Magh (Maagh) 1388",04/02/1981
"22 , Magh (Maagh) 1388",05/02/1981
"23 , Magh (Maagh) 1388",06/02/1981
"24 , Magh (Maagh) 1388",07/02/1981
"25 , Magh (Maagh) 1388",08/02/1981
"26 , Magh (Maagh) 1388",09/02/1981
"27 , Magh (Maagh) 1388",10/02/1981
"28 , Magh (Maagh) 1388",11/02/1981
"29 , Magh (Maagh) 1388",12/02/1981
"1 , Falgun(Phalgun) 1388",13/02/1981
"2 , Falgun(Phalgun) 1388",14/02/1981
"3 , Falgun(Phalgun) 1388",15/02/1981
"4 , Falgun(Phalgun) 1388",16/02/1981
"5 , Falgun(Phalgun) 1388",17/02/1981
"6 , Falgun(Phalgun) 1388",18/02/1981
"7 , Falgun(Phalgun) 1388",19/02/1981
"8 , Falgun(Phalgun) 1388",20/02/1981
"9 , Falgun(Phalgun) 1388",21/02/1981
"10 , Falgun(Phalgun) 1388",22/02/1981
"11 , Falgun(Phalgun) 1388",23/02/1981
"12 , Falgun(Phalgun) 1388",24/02/1981
"13 , Falgun(Phalgun) 1388",25/02/1981
"14 , Falgun(Phalgun) 1388",26/02/1981
"15 , Falgun(Phalgun) 1388",27/02/1981
"16 , Falgun(Phalgun) 1388",28/02/1981
"17 , Falgun(Phalgun) 1388",01/03/1981
"18 , Falgun(Phalgun) 1388",02/03/1981
"19 , Falgun(Phalgun) 1388",03/03/1981
"20 , Falgun(Phalgun) 1388",04/03/1981
"21 , Falgun(Phalgun) 1388",05/03/1981
"22 , Falgun(Phalgun) 1388",06/03/1981
"23 , Falgun(Phalgun) 1388",07/03/1981
"24 , Falgun(Phalgun) 1388",08/03/1981
"25 , Falgun(Phalgun) 1388",09/03/1981
"26 , Falgun(Phalgun) 1388",10/03/1981
"27 , Falgun(Phalgun) 1388",11/03/1981
"28 , Falgun(Phalgun) 1388",12/03/1981
"29 , Falgun(Phalgun) 1388",13/03/1981
"30 , Falgun(Phalgun) 1388",14/03/1981
"1 , Choitro (Chaitra) 1388",15/03/1981
"2 , Choitro (Chaitra) 1388",16/03/1981
"3 , Choitro (Chaitra) 1388",17/03/1981
"4 , Choitro (Chaitra) 1388",18/03/1981
"5 , Choitro (Chaitra) 1388",19/03/1981
"6 , Choitro (Chaitra) 1388",20/03/1981
"7 , Choitro (Chaitra) 1388",21/03/1981
"8 , Choitro (Chaitra) 1388",22/03/1981
"9 , Choitro (Chaitra) 1388",23/03/1981
"10 , Choitro (Chaitra) 1388",24/03/1981
"11 , Choitro (Chaitra) 1388",25/03/1981
"12 , Choitro (Chaitra) 1388",26/03/1981
"13 , Choitro (Chaitra) 1388",27/03/1981
"14 , Choitro (Chaitra) 1388",28/03/1981
"15 , Choitro (Chaitra) 1388",29/03/1981
"16 , Choitro (Chaitra) 1388",30/03/1981
"17 , Choitro (Chaitra) 1388",31/03/1981
"18 , Choitro (Chaitra) 1388",01/04/1981
"19 , Choitro (Chaitra) 1388",02/04/1981
"20 , Choitro (Chaitra) 1388",03/04/1981
"21 , Choitro (Chaitra) 1388",04/04/1981
"22 , Choitro (Chaitra) 1388",05/04/1981
"23 , Choitro (Chaitra) 1388",06/04/1981
"24 , Choitro (Chaitra) 1388",07/04/1981
"25 , Choitro (Chaitra) 1388",08/04/1981
"26 , Choitro (Chaitra) 1388",09/04/1981
"27 , Choitro (Chaitra) 1388",10/04/1981
"28 , Choitro (Chaitra) 1388",11/04/1981
"29 , Choitro (Chaitra) 1388",12/04/1981
"30 , Choitro (Chaitra) 1388",13/04/1981
"1 , Boishakh (Baisakh) 1388",14/04/1981
"2 , Boishakh (Baisakh) 1388",15/04/1981
